procedure,query_selector,dataset,seed,elapsed_time,accuracy,query_nbr
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,15
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,16
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,17
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,18
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,19
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9090259740259741,0
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9088961038961039,1
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9207142857142857,2
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.922077922077922,3
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9226623376623376,4
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9211688311688312,5
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9215584415584416,6
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9215584415584416,7
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9215584415584416,8
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9215584415584416,9
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9215584415584416,10
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9215584415584416,11
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9215584415584416,12
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9215584415584416,13
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9235714285714286,14
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9235714285714286,15
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9235714285714286,16
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9235714285714286,17
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9235714285714286,18
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,1,14158.871843099594,0.9235714285714286,19
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9473684210526315,0
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9473684210526315,1
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9631578947368421,2
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9736842105263158,3
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9736842105263158,4
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9736842105263158,5
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,6
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,7
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,8
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,9
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,10
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,11
